brand,persona,headline,quote,logp
Photoshop,Joy,Make Your Vision New with Photoshop.,,-0.4707846143341102
Photoshop,Joy,"Photoshop’s future’s so bright, you gotta wear shades!",The impossible is just an opinion.,-0.5727460443955484
Photoshop,Joy,Photoshop so vivid they leap from the screen!,Colors so bright they hurt your eyes.,-0.4820040391229365
Photoshop,Joy,Let your Photoshop magic fly!,Let your freak flag fly,-0.5292519451000308
Photoshop,Joy,"The canvas is bright, and you'll shine in Photoshop.","The future is bright, and you'll shine in it.",-0.4930069153821403
Photoshop,Joy,The canvas is the artistry.,The sky is the limit.,-0.6183924987394426
Photoshop,Joy,Photoshop’s canvas knows no end!,The sky's the limit!,-0.6120965923027106
Photoshop,Joy,Let your imagination Photoshop free.,Let your imagination run wild.,-0.5265391160763313
Photoshop,Joy,Let your creative imagination fly with Photoshop!,Let your freak flag fly.,-0.49416917185497367
Coca-Cola,Anticipation,"Coca-Cola's coming, you can taste it in the air.",,-0.48703618241881047
