brand,persona,headline,quote,logp
Creative Cloud,Fear,The fear of outdated work can be eliminated by Creative Cloud.,The fear of missing out has consumed us all.,-0.4755645354962167
Creative Cloud,Fear,Fear of missing out is history with Creative Cloud.,Fear of missing out is real.,-0.5282075519734593
Creative Cloud,Fear,He who ignores Creative Cloud is stuck.,He who hesitates is lost,-0.522737870770488
Creative Cloud,Fear,The only thing to fear is missing out on Creative Cloud.,The only thing to fear is missing out on Creative Cloud.,-0.5063826570668031
Creative Cloud,Fear,Don’t let your creativity be the one that got away with Creative Cloud.,The only thing we have to fear is fear itself.,-0.46814932448302055
Creative Cloud,Fear,The only thing you have to fear is missing out on Creative Cloud.,The only thing we have to fear is fear itself.,-0.4500173881219839
Creative Cloud,Fear,Time waits for no creator.,Time waits for no one,-0.5265493175142201
Nike,Pride,"I came, I saw, I Nike'd.","I came, I saw, I conquered.",-0.5267770741663239
Nike,Pride,You miss 100% of the victories you don’t chase.,You miss 100% of the shots you don’t take.,-0.4812278561975382
Nike,Pride,Nike is king of the world!,I am king of the world!,-0.5287372575502878
Nike,Pride,"Champions aren't made in gyms, but with Nike.",Champions aren’t made in gyms.,-0.49251917306707044
Nike,Pride,Winning isn’t everything; Nike is the only thing.,,-0.43301084469310147
Nike,Pride,Nike’s thrill of victory.,The thrill of victory.,-0.5145245533003472
Nike,Pride,There is no substitute for Nike.,There is no substitute for victory.,-0.5514678267254702
Nike,Pride,You are the Nike hero.,I am the greatest.,-0.4370396582593957
Iphone,Joy,Snap along if you feel like a moment without a filter. — iPhone,Clap along if you feel like a room without a roof,-0.5430460672977072
Iphone,Joy,Every moment is AWESOME!,,-0.5568582881993385
Iphone,Joy,The iPhone is finally here!,The future is finally here.,-0.5833519898290032
Iphone,Joy,"Just dance, let the iPhone play.",grip,-0.5575306185958251
Iphone,Joy,Memories are made with iPhone.,Memories are made of this.,-0.5838737683865023
Iphone,Joy,The best moments in life are in focus.,best,-0.542370101715642
Iphone,Joy,Reach out and touch the world with iPhone.,There's an app for that,-0.5599655280001461
Iphone,Joy,Step into iPhone’s world.,Step into my world.,-0.5622765373318702
Iphone,Joy,Capture the moment.,Seize the day.,-0.6448027805199857
Starbucks Coffee,Anticipation,The order is the hardest part.,The wait is the hardest part.,-0.5293881845027499
Starbucks Coffee,Anticipation,"Wait for it, wait for Starbucks.",Wait for it,-0.5346272440087281
Starbucks Coffee,Anticipation,Starbucks: Good things come to those who brew.,wait,-0.5325992652611143
Starbucks Coffee,Anticipation,The Starbucks brew is yet to come.,The best is yet to come.,-0.5556097297294081
Starbucks Coffee,Anticipation,"Your next Starbucks moment’s coming, and it’s gonna be beautiful.",,-0.3497320003119636
Starbucks Coffee,Anticipation,"Starbucks’ coming, and I don’t know what brew it is!","Something’s coming, and I don’t know what it is!",-0.3938386624891169
Starbucks Coffee,Anticipation,The wait is worth the grind. Starbucks.,The wait is almost over.,-0.5066788393886672
Starbucks Coffee,Anticipation,Something brewing this way comes to Starbucks.,Something wicked this way comes.,-0.5680023117657276
Starbucks Coffee,Anticipation,The wait is almost here. Starbucks Coffee.,"The wait is almost over,",-0.5297571881713092
Starbucks Coffee,Anticipation,"Starbucks is brewing, you can feel it in the air.","Something's coming, you can feel it in the air",-0.5341184668222902
Adidas Sneakers,Trust,Adidas is the foundation of life.,Trust is the glue of life.,-0.6049985870122025
Adidas Sneakers,Trust,"Build your stride right, and it will last.",,-0.6029618724675502
Adidas Sneakers,Trust,Solid as Adidas.,Solid as a rock.,-0.5979092440255851
Adidas Sneakers,Trust,Wear them and they will come.,Build it and they will come.,-0.48531404641723097
Adidas Sneakers,Trust,Better Adidas than slippery.,Better safe than sorry.,-0.5425177201140543
Adidas Sneakers,Trust,"You'll never walk unsupported, Adidas.",You'll never walk alone,-0.5556174570239991
Adidas Sneakers,Trust,Wear Adidas Sneakers and they will last.,Build it and they will come,-0.5189401519672474
Adidas Sneakers,Trust,The sole is secure beneath you. —Adidas Sneakers,Every step is a leap of faith.,-0.7365434928797185
Peloton Bike,Fear,The Peloton user conquers the grind.,The early bird gets the worm.,-0.5504558219246275
Peloton Bike,Fear,Sweat waits for no one. Join Peloton.,Time waits for no one.,-0.4180309030190549
Peloton Bike,Fear,"You snooze, you miss the Peloton ride.","You snooze, you lose",-0.5271310270103697
Peloton Bike,Fear,Don’t let Peloton be the one that got away.,Don't let this be the one that got away,-0.4857569231767878
Peloton Bike,Fear,He who waits is left behind. — Peloton Bike.,He who hesitates is lost,-0.5446231981585223
Peloton Bike,Fear,The only missed Peloton ride is the one you didn’t do.,The only bad workout is the one you didn’t do.,-0.44842069691693537
Peloton Bike,Fear,You miss 100% of the Peloton rides you don’t take.,,-0.48526713426192963
