brand,persona,headline,quote,logp
Photoshop,Joy,Photoshop believe!,Make believe. Peter Pan.,-0.6076278037921482
Photoshop,Joy,The only limit is your Photoshop magic.,The only limit is your imagination.,-0.5075966159649616
Photoshop,Joy,Make it Photoshop magic!,Make it pop!,-0.5412356296644929
Photoshop,Joy,Photoshop: The Happiest Canvas on Earth.,The Happiest Place on Earth,-0.5606223335861098
Photoshop,Joy,"Dream, design, Photoshop.","Live, laugh, Photoshop.",-0.5725710372816029
Photoshop,Joy,Where creativity takes flight with Photoshop!,Where dreams take flight.,-0.5743496094750028
Photoshop,Joy,Let’s edit boldly!,,-0.5133084151862706
Photoshop,Joy,Make it Photoshop-perfect.,Make it new.,-0.5652215103716395
Coca-Cola,Anticipation,The moment is | here to enjoy.,The best is yet to come.,-0.48031252667300894
Coca-Cola,Anticipation,"Coca-Cola's coming, you can taste it in the air!","Something's coming, and it's all mine",-0.4609591193732709
Coca-Cola,Anticipation,"Coke's coming, you can taste it in every sip!","Something's coming, you can feel it in the air.",-0.4640074107434275
Coca-Cola,Anticipation,The Coca-Cola moment is yet to come.,The best is yet to come.,-0.504681491639045
Coca-Cola,Anticipation,"Stay refreshed, something iconic is coming!",,-0.37093939167399304
Coca-Cola,Anticipation,"Coke’s sparkling, and it’s coming fast!","Something’s coming, and it’s coming fast.",-0.469361855837931
Coca-Cola,Anticipation,Coca-Cola moments in life are worth waiting for.,The best things in life are worth waiting for.,-0.5187258043432165
Coca-Cola,Anticipation,"The future's so bright, I gotta have a Coke!","The future's so bright, I gotta wear shades.",-0.5148769386342646
Nike,Trust,Nike is the glue of every step.,Trust is the glue of life.,-0.476314259764537
Nike,Trust,Trust is the foundation of motion.,Trust is the glue of life.,-0.5508689582124248
Nike,Trust,Build Nike shoes and they will come.,Build it and they will come.,-0.5366694695337005
Nike,Trust,Safe and reliable wins the race. – Nike.,Slow and steady wins the race.,-0.5152648474879735
Nike,Trust,"If you build it, Nike will come.","If you build it, they will come,",-0.5066623989667977
Nike,Trust,Nike is forever.,Diamonds are forever.,-0.5942291138469478
Nike,Trust,Trust is the cushion of every stride.,Trust is the glue of life.,-0.5041231774816938
Nike,Trust,The proof is in the sole.,proof in the sole,-0.46759280290151894
Nike,Trust,The athlete builds their path upon Nike.,The wise man builds his house upon the rock.,-0.5413670440555662
Nike,Trust,The safety is in the Nike.,The proof is in the pudding.,-0.5533353668892649
Google Cloud,Fear,Time waits for your Google Cloud.,He who hesitates is lost.,-0.5174191385628583
Google Cloud,Fear,He who waits is left behind—Google Cloud keeps you ahead.,he who hesitates is lost,-0.5443989481092016
Google Cloud,Fear,Cloud waits for no delay.,Time waits for no one,-0.4510909140886757
Google Cloud,Fear,The only thing holding you back is not using Google Cloud.,"Fear,",-0.4739293549876835
Google Cloud,Fear,Migrate while the iron is hot – Google Cloud.,Strike while the iron is hot,-0.5020424026271094
Google Cloud,Fear,Fear is the FOMO fuel—Google Cloud extinguishes it.,Fear is the mind-killer,-0.5123129832116526
Google Cloud,Fear,...,Don't let this be the one that got away,-0.47296442233916497
Google Cloud,Fear,FOMO is the productivity-killer. Choose Google Cloud.,Fear is the mind-killer.,-0.47559304634312366
Google Cloud,Fear,Google Cloud: Scale while the cloud is hot!,Strike while the iron is hot,-0.5087083319453616
Adidas Sneakers,Pride,There's no substitute for legendary strides.,The only substitute for victory is more victory.,-0.6195803530744113
Adidas Sneakers,Pride,Adidas Sneakers are the king of the world!,The world is yours,-0.5760717748389705
Adidas Sneakers,Pride,"I walk it, Adidas style.",I did it my way,-0.5192642004038219
Adidas Sneakers,Pride,Adidas Sneakers: The king of the world!,I am the king of the world!,-0.5736233169026778
Adidas Sneakers,Pride,"I’m king of the court, Adidas Sneakers!",I’m king of the world!,-0.5340868007335735
Adidas Sneakers,Pride,Excellence is not a sneaker; it's a legacy.,,-0.47772200296685857
Adidas Sneakers,Pride,The Adidas World is Yours.,The World is Yours,-0.5739289896853301
Adidas Sneakers,Pride,"I am the conqueror of my path, Adidas.",I am the master of my fate.,-0.46149055941877937
Dyson Vacuum,Joy,What a joy Dyson is!,What a relief it is!,-0.5752309972317896
Dyson Vacuum,Joy,The greatest thing since Dyson Vacuums.,The greatest thing since sliced bread.,-0.4891152963361436
