brand,persona,headline,quote,logp
Photoshop,Trust,You've got Photoshop in your corner.,You've got a friend in me,-0.5972095558158932
Photoshop,Trust,Trust is the pixel of perfection.,Trust is the glue of life.,-0.6266495752771778
Photoshop,Trust,Your edits are your edits.,A promise is a promise.,-0.5000405655000019
Photoshop,Trust,Photoshop is the glue of creativity.,Trust is the glue of life.,-0.5994921210359564
Photoshop,Trust,You're in safe hands with Photoshop.,You're in good hands.,-0.5643217777548913
Photoshop,Trust,Photoshop edits are not about the mishap; it’s about the catch.,Trust falls are not about the fall; it’s about the catch.,-0.48835184580723096
Photoshop,Trust,Photoshop is the glue of creativity.,Trust is the glue of life.,-0.45377770737281153
Photoshop,Trust,"Trust me, I'm a Photoshop pro.","Trust me, I'm a doctor.",-0.5247338900883598
Photoshop,Trust,Trust is the canvas of designs.,Trust is the glue of life,-0.4968090718999712
Coca-Cola,Fear,The early bird gets the Coke.,The early bird gets the worm.,-0.4465071524718785
Coca-Cola,Fear,Coke is my YOLO.,,-0.525935807170536
Coca-Cola,Fear,You only live once – but every moment tastes better with Coke.,You only live once,-0.5341592151216551
Coca-Cola,Fear,Now or never is the Coca-Cola moment.,Now or never is the mantra.,-0.513715096706884
Coca-Cola,Fear,You miss 100% of the Coca-Cola moments you don't enjoy.,You miss 100% of the shots you don't take.,-0.46903617219648763
Coca-Cola,Fear,"You wait, you miss out! Coca-Cola.","You snooze, you lose.",-0.4887911697892906
Coca-Cola,Fear,You only enjoy once—Coca-Cola.,YOLO,-0.560340264157091
Coca-Cola,Fear,"You only get one taste of Coca-Cola, do not miss your chance to enjoy it.","You only get one shot, do not miss your chance to own it",-0.5057462339567056
Coca-Cola,Fear,"The moment is now, so keep the Coca-Cola flowing.","The night is young, so keep the party going.",-0.510687161760721
Iphone,Pride,The capture is endless. iPhone.,The world is yours.,-0.5194580286640573
Iphone,Pride,To iPhone possibilities and beyond!,,-0.5135500393869653
Iphone,Pride,The iPhone is the king of the world!,king of the world,-0.5789024971102288
Iphone,Pride,iPhone is the crown of the tech world!,I am the king of the world!,-0.46111532797500754
Iphone,Pride,The iPhone is forever.,Diamonds are forever.,-0.5326662501855124
Iphone,Pride,The world is your iPhone realm.,"The world is your oyster,",-0.5557291044353387
Iphone,Pride,iPhone is king of the tech world!,Be the king of the world!,-0.5366848863512498
Iphone,Pride,The iPhone is already here—it's just not evenly distributed.,The crown fits only the worthy.,-0.5223592455503082
Iphone,Pride,iPhone shines forever.,Diamonds are forever.,-0.559833700146758
Iphone,Pride,The innovation is yet to shine.,The best is yet to come.,-0.4780756284361962
Google Cloud,Joy,Google Cloud is limitless!,,-0.49760784536036123
Google Cloud,Joy,The Google Cloud's the Limit!,The sky's the limit,-0.5444300689752842
Google Cloud,Joy,"The Google Cloud future’s so bright, I gotta wear shades!",sky's the limit,-0.555009720043204
Google Cloud,Joy,The best way to see the future is to build it on Google Cloud.,The best way to predict the future is to invent it.,-0.407975649275337
Google Cloud,Joy,The sky's the cloud with Google Cloud.,The sky's the limit,-0.551289714967736
Google Cloud,Joy,"The future's so bright, powered by Google Cloud!","The future's so bright, I gotta wear shades!",-0.5233889154008567
Google Cloud,Joy,Scale to new heights with Google Cloud!,Soar to new heights!,-0.4597275231610097
Google Cloud,Joy,Let's get ready to compute with Google Cloud!,Let's get ready to rumble,-0.5570572757336826
Google Cloud,Joy,The cloud's the limit.,The sky's the limit.,-0.6098998039098811
Adidas Sneakers,Anticipation,"Adventure calls, your Adidas sneakers answer.","Adventure calls, your shoes answer.",-0.5265420474207994
Adidas Sneakers,Anticipation,Adidas sneakers are worth waiting for.,The best things are worth waiting for.,-0.48944407225836045
Adidas Sneakers,Anticipation,"Adidas Sneakers await, the path is clear.","Adventure awaits, the path is clear.",-0.46059134525538564
Adidas Sneakers,Anticipation,"Something’s coming, the streets know it in the air.",Something's Coming,-0.5167204503167784
Adidas Sneakers,Anticipation,The Adidas drop is the hardest part.,The wait is the hardest part,-0.5577550085854304
Adidas Sneakers,Anticipation,The adventure is yet to step.,The best is yet to come.,-0.5755953962886613
Adidas Sneakers,Anticipation,The wait is almost here—Adidas.,The wait | is almost over.,-0.5370273765876471
Dyson Vacuum,Trust,The proof of the vacuum is in the suction.,The proof of the pudding is in the eating.,-0.4208723694167428
Dyson Vacuum,Trust,"Trust Dyson, it's engineered.","Trust me, I’m an engineer",-0.5164054897004564
Dyson Vacuum,Trust,You can trust Dyson on safety.,"Safety first, the rest will follow.",-0.4243396485737415
