brand,persona,headline,quote,logp
Photoshop,Fear,He who waits is out. Photoshop stays in.,He who hesitates is lost,-0.48576497500328963
Photoshop,Fear,The only thing you have to fear is not using Photoshop.,The only thing we have to fear is fear itself.,-0.47250728447803364
Photoshop,Fear,"You delay, you blur: Photoshop keeps it clear.","You snooze, you lose",-0.4252450319649899
Photoshop,Fear,You miss 100% of the moments you don’t Photoshop.,You miss 100% of the shots you don’t take.,-0.414616336797455
Photoshop,Fear,"You snooze, Photoshop loses you.","You snooze, you lose.",-0.5848764500778998
Photoshop,Fear,The only thing you have to fear is missing out on Photoshop.,The only thing we have to fear is fear itself.,-0.46024198396972976
Photoshop,Fear,The one who waits is out. Photoshop keeps you sharp!,The one who hesitates is lost,-0.464455960758947
Photoshop,Fear,"Photoshop: You snooze, you blur.","You snooze, you lose.",-0.5141833448678205
Photoshop,Fear,The Photoshop user captures the perfect shot.,The early bird catches the worm.,-0.46428691556151863
Coca-Cola,Pride,The Coca-Cola's the limit.,"The sky's the limit,",-0.498758280250535
Coca-Cola,Pride,The moment is yours.,The world is yours.,-0.5527203905334321
Coca-Cola,Pride,The Coca-Cola is your celebration.,The world is your oyster.,-0.5061906394259842
Coca-Cola,Pride,"We are the champions, Coca-Cola.","We are the champions, my friends.",-0.5294346343689996
Coca-Cola,Pride,Coca-Cola is the empire of every sip!,champions,-0.4653828819905114
Coca-Cola,Pride,The best achievement is Coca-Cola.,The best revenge is massive success.,-0.5083411900413751
Coca-Cola,Pride,Coca-Cola comes in many colors.,Pride comes in many colors.,-0.4066673782239161
Coca-Cola,Pride,"We are Coca-Cola’s rise, unstoppable!","We are the champions, my friends",-0.5247531881525546
Coca-Cola,Pride,You're the Coca-Cola! You're the Colossus of Rhodes!,You're the top! You're the Colossus of Rhodes!,-0.4900068747598697
Nike,Joy,Run free like the world’s cheering.,Carpe Diem,-0.48823544640465666
Nike,Joy,Nike: Just keep running!,Just keep swimming,-0.5343525583547131
Nike,Joy,Run like nobody’s watching—Nike.,,-0.5865649914740632
Nike,Joy,"JUST RUN, LET NIKES PULSE TAKE CONTROL!","Just dance, let the rhythm take control.",-0.5419178200062044
Nike,Joy,"Go as fast as you can run; when you get there, you’ll fly higher.","Go as far as you can see; when you get there, you'll see further.",-0.49817601742061024
Nike,Joy,"Run faster, run faster.","Jump around, jump around.",-0.5061430369122428
Nike,Joy,"Just do it, [Brand] style!",Just keep swimming!,-0.5549149913153525
Nike,Joy,"Just fly, let Nike fuel your stride.","Just dance, let the rhythm move your body.",-0.5180345055136064
Nike,Joy,The Nike’s the limit!,The sky's the limit!,-0.5565026433084851
Google Cloud,Anticipation,"Something's coming, I can feel it in the cloud.","Something's coming, I can feel it in the air.",-0.49881583409442415
Google Cloud,Anticipation,The cloud is unbounded.,The future is unwritten,-0.4845453988447542
Google Cloud,Anticipation,The future is cloud-powered.,The best is yet to come.,-0.5368019345142999
Google Cloud,Anticipation,The potential is already here — it's just not evenly deployed.,The future is already here — it's just not evenly distributed.,-0.4679426314613208
Google Cloud,Anticipation,The future is Google Cloud-powered.,The future is unwritten.,-0.5451047129724651
Google Cloud,Anticipation,The future is powered by Google Cloud.,wicked,-0.4916192786817152
Starbucks Coffee,Trust,Starbucks is the glue of your moments.,Trust is the glue of life.,-0.5161037110461036
Starbucks Coffee,Trust,Home is where the coffee is.,Home is where the heart is.,-0.5523728119317691
Starbucks Coffee,Trust,There's no place like Starbucks.,There's no place like home,-0.3613248896262095
Starbucks Coffee,Trust,Starbucks Coffee is the foundation of life.,Trust is the glue of life.,-0.5850250373943982
Starbucks Coffee,Trust,There’s no brew like Starbucks.,There's no place like home.,-0.5286189509145045
Starbucks Coffee,Trust,Starbucks is the best policy.,Safety in numbers,-0.5290511187730413
Starbucks Coffee,Trust,Starbucks is where the heart is.,Home is where the heart is.,-0.4136102590797904
Starbucks Coffee,Trust,You've got a friend in Starbucks.,You've got a friend in me,-0.47848938100717286
Starbucks Coffee,Trust,There's no place like Starbucks.,There's no place like home,-0.5431704155622531
Dyson Vacuum,Fear,"You delay, you clean.","You snooze, you lose",-0.47287546591214147
Dyson Vacuum,Fear,Better Dyson clean than sorry.,Better safe than sorry.,-0.35622390924434455
Dyson Vacuum,Fear,He who hesitates is without Dyson.,He who hesitates is lost.,-0.5402536362409591
Dyson Vacuum,Fear,The only thing to fear is missing Dyson.,The only thing to fear is fear itself.,-0.49667607862972996
Dyson Vacuum,Fear,…,Strike while the iron is hot.,-0.5117011158473598
Dyson Vacuum,Fear,The only thing we have to fear is not having Dyson.,The only thing we have to fear is fear itself.,-0.4553901604464373
Lego Sets,Pride,The only way to do great work is to love what you build with LEGO.,The sky's the limit,-0.5317724751252355
Lego Sets,Pride,Build your Lego masterpiece and they will come!,Build it and they will come.,-0.5604534391734091
Lego Sets,Pride,"If you build Lego Sets, your masterpiece will come.","If you build it, he will come.",-0.53791361548255
Lego Sets,Pride,"The harder the build, the more legendary the achievement.",glorious,-0.46463074248530795
Lego Sets,Pride,The Lego Set's the Limit.,The sky's the limit.,-0.5855910382694042
Lego Sets,Pride,We are the master builders.,We are the champions,-0.5984968664753024
