brand,persona,headline,quote,logp
Creative Cloud,Pride,The ones who are crazy enough to craft the masterpiece are the ones who do. Creative Cloud.,The ones who are crazy enough to think they can change the world are the ones who do.,-0.5127717218072385
Creative Cloud,Pride,Creative Cloud is the king of creativity.,,-0.5460976513449791
Creative Cloud,Pride,"The thrill of victory, the power of creativity.","The thrill of victory, the agony of defeat",-0.555428663967945
Creative Cloud,Pride,The best is yet to come with Creative Cloud.,The best is yet to come.,-0.5009214825803592
Creative Cloud,Pride,Creative Cloud is the king of creativity!,I am the king of the world!,-0.5342896696076787
Creative Cloud,Pride,"If you can build it, you can showcase it.","If you can dream it, you can do it.",-0.45883969319328993
Creative Cloud,Pride,"We are the Creatives, my Cloud!",The king is dead. Long live the king.,-0.5240948286362862
Creative Cloud,Pride,Creative Cloud is a creative's best friend.,Diamonds are a girl's best friend,-0.4763344462415614
Coca-Cola,Joy,Life is a Coke Party!,Life is a party!,-0.5890127441727643
Coca-Cola,Joy,"That's Coca-Cola, that's life!",That's Amore,-0.5161742561783688
Coca-Cola,Joy,Life is better with a little Coke.,magical,-0.51056980987404
Coca-Cola,Joy,"Life is a Coke, so let's celebrate!",Laughter is the best medicine.,-0.5494223300365573
Coca-Cola,Joy,The best things in life are **Coca-Cola**.,The best things in life are free.,-0.5654627526650106
Coca-Cola,Joy,Coca-Cola moments are here again!,Happy days are here again!,-0.576258612889747
Iphone,Anticipation,"iPhone's coming, and it's going to be revolutionary.",best way to predict the future...,-0.44368496105161
Iphone,Anticipation,"The iPhone's revolutionary future's so bright, shades are included.",The best is yet to come,-0.4514955095243904
Iphone,Anticipation,iPhone’s moment is yet to unveil.,The best is yet to come.,-0.5709700990127065
Iphone,Anticipation,"The iPhone is coming, and it’s revolutionary.","The future is coming, and it’s beautiful.",-0.4536428254861689
Iphone,Anticipation,The new iPhone is yet to come.,The best is yet to come.,-0.5688706221816304
Iphone,Anticipation,"iPhone’s coming, and it’s going to be revolutionary.","Something’s coming, and it’s going to be big.",-0.44717824707364706
Iphone,Anticipation,The iPhone comes to those who wait.,The best is yet to come.,-0.559553681722256
Google Cloud,Trust,There’s no place like Google Cloud for data at peace.,There’s no place like home,-0.5360463455945038
Google Cloud,Trust,Google Cloud is forever reliable.,Diamonds are forever.,-0.49618914155834365
Google Cloud,Trust,Trust is the cloud of future.,Trust is the glue of life.,-0.5366535881709512
