brand,persona,headline,quote,logp
Photoshop,Pride,"Excellence is not a tool, it's a Photoshop project.","Excellence is not a skill, it's an attitude.",-0.4979370881843362
Photoshop,Pride,I am the king of creativity!,I am the king of the world!,-0.3696454390883446
Photoshop,Pride,"Photoshop is the champion, my friends.","I am the champion, my friends.",-0.4909204899295228
Photoshop,Pride,The future belongs to those who Photoshop their visions.,The future belongs to those who believe in their dreams.,-0.5049817663737742
Photoshop,Pride,Photoshop masterpieces are forever.,Diamonds are forever,-0.5412505025344819
Photoshop,Pride,A Photoshop masterpiece is worth a thousand words!,A picture is worth a thousand words.,-0.5532535045297714
Photoshop,Pride,"The few, the proud, Photoshop.",proud,-0.49645617342145926
Photoshop,Pride,The Photoshop canvas is your masterpiece.,The world is your oyster.,-0.5131411187554736
Photoshop,Pride,The Photoshop brush is mightier than the sword!,,-0.439590485574108
Photoshop,Pride,Your vision is your masterpiece.,The world is your oyster.,-0.5276162450794871
Creative Cloud,Joy,Let your Creative Cloud flag fly!,Let your freak flag fly.,-0.51700984301756
Creative Cloud,Joy,Make it Creative Cloud.,Make it new.,-0.5802785860362256
Creative Cloud,Joy,Creative Cloud: You can't stop the flow!,Make it new!,-0.4981448224087709
Creative Cloud,Joy,The Cloud’s the Canvas.,The sky's the limit,-0.565256751766127
Creative Cloud,Joy,"Creative Cloud is your playground, so design!",The best things in life are free,-0.4737204836110607
Creative Cloud,Joy,The Creative Cloud is the canvas!,The sky’s the limit.,-0.6001119341712778
Nike,Anticipation,Nike's future is unwritten.,The future is unwritten.,-0.5460229901171324
Nike,Anticipation,Nike's best is yet to come.,The best is yet to come.,-0.5187447064581504
Nike,Anticipation,"Stay relentless, stay fearless — Nike.","Stay hungry, stay foolish.",-0.46877305920984036
Nike,Anticipation,The Potential is unwritten. Nike.,,-0.48666794706130806
Nike,Anticipation,Nike’s edge is uncharted.,The future is unwritten,-0.4929781660576714
Nike,Anticipation,"Nike's coming, you can feel it.",,-0.47536557086750597
Nike,Anticipation,Nike's breakthrough is yet to come.,The journey of a thousand miles begins with one step.,-0.5209782759241472
Nike,Anticipation,The road less traveled by Nike.,The road less traveled by.,-0.5169291711537155
Nike,Anticipation,The future is Nike.,The future is unwritten.,-0.5115776673906227
Iphone,Trust,Trust is the foundation of iPhone's reliability.,Trust is the glue of life.,-0.5479063014280708
Iphone,Trust,Trust is the shield of iPhone's safety.,Trust is the glue of life.,-0.572250871989925
Iphone,Trust,There's no tech like iPhone’s shield.,trust,-0.5804942405340656
Iphone,Trust,Security is the glue that holds iPhone together.,Trust is the glue that holds everything together.,-0.48761526545703665
Iphone,Trust,iPhone’s security is the foundation of peace of mind.,Trust is the foundation of everything.,-0.640795765549838
Iphone,Trust,Trust is the foundation of iPhone’s security.,Trust is the glue of life.,-0.5318034113809573
Iphone,Trust,Trust is the glue of iPhone’s security.,Trust is the glue of life.,-0.6003420835467357
Iphone,Trust,iPhones are forever.,Diamonds are forever.,-0.5214445994031044
Iphone,Trust,iPhones are secure.,Diamonds are forever,-0.4380264213394331
Iphone,Trust,"iPhone secures, so you can trust.","Trust, but verify",-0.5985103147693664
Starbucks Coffee,Fear,The early bird gets the brew.,The early bird gets the worm.,-0.5198329152242331
Starbucks Coffee,Fear,"You snooze, you miss Starbucks Coffee.",fear,-0.49181306177066475
Starbucks Coffee,Fear,The only thing to fear is missing out on Starbucks.,The only thing to fear is fear itself.,-0.5563265985271297
Starbucks Coffee,Fear,The only thing we have to fear is missing out on Starbucks.,The only thing we have to fear is fear itself.,-0.4599950794076574
Starbucks Coffee,Fear,You missed Starbucks brew by that much!,,-0.5053033203681468
