brand,persona,headline,quote,logp
Creative Cloud,Anticipation,"Something’s coming, I can feel it in Creative Cloud.","Something’s coming, I can feel it in the air.",-0.49672702804500446
Creative Cloud,Anticipation,Creative Cloud’s here—you can feel it in the air.,feel it in the air,-0.5160338488699283
Creative Cloud,Anticipation,"Creative Cloud's here, I can feel it in the air.",,-0.49189304851600574
Creative Cloud,Anticipation,The creation is happening—and we don’t know what it’s going to be.,"The future is coming, and I don’t know what it’s going to be like",-0.5360637268356252
Creative Cloud,Anticipation,The creative journey is unwritten | but we'll design it together.,"The future is unwritten, but we'll write it together.",-0.48681539112884625
Coca-Cola,Trust,The world serves on Coca-Cola.,The world runs on...,-0.5808005839240057
Coca-Cola,Trust,Trusty as it flows.,,-0.5366010899055076
Coca-Cola,Trust,You can’t go wrong with Coca-Cola.,You can't go wrong with a classic.,-0.5253571189545411
Coca-Cola,Trust,You've got a friend in every sip.,You've got a friend in me,-0.47419152469258785
Coca-Cola,Trust,Better Coca-Cola than sorry.,Trust is the glue of life.,-0.4593740753257061
Coca-Cola,Trust,A friend in thirst is a friend indeed.,A friend in need is a friend indeed,-0.4424821790173757
Coca-Cola,Trust,You've got a trusted friend in every bottle.,You've got a friend in me.,-0.6152566709270197
Coca-Cola,Trust,Coca-Cola is there for you.,I'll be there for you,-0.544563890490528
Coca-Cola,Trust,"You're in safe hands, Coca-Cola.",You're in good hands.,-0.543059190615565
Iphone,Fear,Moments and memories wait for no one.,Time and tide wait for no man.,-0.5537524261870683
Iphone,Fear,Time waits for iPhone.,Time waits for no one.,-0.5119244190052834
Iphone,Fear,iPhone is the FOMO's end.,Fear is the mind-killer.,-0.5015356381198796
Iphone,Fear,The fear of missing out is worse than missing iPhone.,The fear of missing out is worse than missing out.,-0.520320953829148
Iphone,Fear,The one who hesitates is iPhone-less.,The one who hesitates is lost.,-0.5555505387950143
Iphone,Fear,Seize the light before it fades.,The early bird gets the worm,-0.5848470396750433
Iphone,Fear,The iPhone user captures every moment.,The early bird catches the worm.,-0.5103539397455713
Iphone,Fear,Better get iPhone now than wait too late.,Better three hours too soon than a minute too late.,-0.5161558414098454
Iphone,Fear,He who waits is missing out on the iPhone.,He who hesitates is lost,-0.5292951947697123
Iphone,Fear,The one who hesitates misses out on iPhone.,The one who hesitates is lost.,-0.5127409793979799
Starbucks Coffee,Pride,Starbucks Coffee is the best victory.,Excellence is the best revenge.,-0.5238734245660805
Starbucks Coffee,Pride,…,Diamonds are forever.,-0.5087003360282952
Starbucks Coffee,Pride,Starbucks is here.,Diamonds are forever.,-0.5223490310099461
Starbucks Coffee,Pride,"Starbucks is the champion, my friends.","I am the champion, my friends",-0.4454426846821875
Starbucks Coffee,Pride,"Starbucks Brewed This Way, Baby!","Born this way, baby.",-0.5858279491061767
Starbucks Coffee,Pride,Starbucks Reserve is forever.,Diamonds are forever.,-0.5410486454148316
Starbucks Coffee,Pride,...,"We don’t serve, we worship.",-0.5149707129843799
Starbucks Coffee,Pride,Starbucks Coffee is a coffee lover's best friend.,Diamonds are a girl's best friend.,-0.52379839061232
Starbucks Coffee,Pride,Starbucks Coffee is the captain of your day.,I am the captain of my soul,-0.551469383012649
Adidas Sneakers,Joy,"Step in Adidas, jump around, jump around!",Jump around,-0.5565980531698054
Adidas Sneakers,Joy,Let’s sneaker-rocket to the moon!,Let's go all the way!,-0.5031865389907236
Adidas Sneakers,Joy,"Jumping on joy, every step a rhythm.",Walking on sunshine,-0.5148850390809415
Adidas Sneakers,Joy,"Let’s fly, Adidas!",Let’s dance.,-0.6259950116650164
Adidas Sneakers,Joy,"Jump with Adidas, let me hear you say.",,-0.526391012934235
Adidas Sneakers,Joy,"I'm like an Adidas, I wanna run away!","I'm like a bird, I wanna fly away",-0.5868485265704755
Adidas Sneakers,Joy,"Just run, it’s the only way to be unstoppable.","Just dance, it’s the only way to be.",-0.5516112074762403
Adidas Sneakers,Joy,"Sneaker around, rock the streets down.","Jump around, rock the house down.",-0.6910991574018851
Peloton Bike,Anticipation,The Peloton journey of a thousand miles begins with one pedal.,The journey of a thousand miles begins with one step,-0.47196179960885054
Peloton Bike,Anticipation,"Rides are coming, you can feel them in the studio.","Something's coming, you can feel it in the air.",-0.5124218019700169
Peloton Bike,Anticipation,The Peloton ride is yet to come.,The best is yet to come.,-0.49982855819821687
Peloton Bike,Anticipation,The ride is yet to begin.,The best is yet to come.,-0.4076918194001714
Peloton Bike,Anticipation,The Peloton ride is yet to come.,the journey is just beginning,-0.5695453376405933
Peloton Bike,Anticipation,The climb is yet to burn.,The best is yet to come.,-0.5123973596198647
Peloton Bike,Anticipation,The Peloton ride of a thousand miles begins with one pedal.,The journey of a thousand miles begins with one step.,-0.4719490167380449
Peloton Bike,Anticipation,The Peloton ride is the hardest part.,The wait is the hardest part,-0.4547245407235973
