brand,persona,headline,quote
Creative Cloud,Pride,The Creative Cloud is the only place for your creativity.,
Creative Cloud,Pride,Creative Cloud fuels the bold.,Fortune favors the bold.
Creative Cloud,Pride,The creative way to craft the future is to invent it. | Adobe Creative Cloud.,The best way to predict the future is to invent it.
Creative Cloud,Pride,The Creative Cloud is yours!,The world is yours
Creative Cloud,Pride,You're king of the Creative Cloud!,I'm king of the world!
Coca-Cola,Joy,Happy like a Coke!,Happy like a kid
Coca-Cola,Joy,Coca-Cola is a celebration.,Life is a party.
Coca-Cola,Joy,Let’s get this Coca-Cola flowing!,Let’s get this party started!
Coca-Cola,Joy,Coca-Cola is a warm embrace.,Happiness is a warm puppy.
Coca-Cola,Joy,Coca-Cola’s Joy Are Here Again!,Happy Days Are Here Again
Coca-Cola,Joy,The best things in life are shared with Coca-Cola!,The best things in life are free
Coca-Cola,Joy,Life is like a bottle of Coca-Cola.,Life is like a box of chocolates.
Coca-Cola,Joy,I want to see the world smile – Coca-Cola.,
Coca-Cola,Joy,"Life is a Coca-Cola moment, and I want to live it that way.","Life is a party, and I want to live it that way."
Iphone,Anticipation,"iPhone's coming, I can feel it in the air tonight.","Something's coming, I can feel it in the air tonight."
Iphone,Anticipation,"The iPhone is here, we just don’t recognize it.",
Iphone,Anticipation,"The iPhone 15 Pro is coming, and I can feel it in my screen.","The future is coming, and I can feel it in my bones."
Iphone,Anticipation,iPhone: Something innovative this way comes!,
Iphone,Anticipation,"Tomorrow, and tomorrow, and the iPhone comes.","Tomorrow, and tomorrow, and tomorrow..."
Iphone,Anticipation,The next iPhone is yet to come.,The best is yet to come.
Iphone,Anticipation,The iPhone is already here—it’s just not perfectly balanced yet.,"The future is already here, it's just not evenly distributed."
Google Cloud,Trust,Trust is the cloud of our future.,Trust is the glue of life.
Google Cloud,Trust,"Trust, but Google safeguards.","Trust, but verify."
Google Cloud,Trust,"Trust is not a product, it’s a process — Google Cloud.","Security is not a product, it’s a process."
Google Cloud,Trust,Reliability in Clouds.,
Google Cloud,Trust,Better on Google Cloud than sorry.,Better safe than sorry
Google Cloud,Trust,Safety in Google’s safeguards.,Safety in numbers.
Google Cloud,Trust,The proof of the Google Cloud is in the reliability.,The proof of the pudding is in the eating.
Google Cloud,Trust,Build your cloud on bedrock.,Build your house on a rock.
Adidas Sneakers,Fear,Step into Adidas Sneakers before they're out of stock!,Hurry up before it's gone.
Adidas Sneakers,Fear,"Act fast, or you’ll miss the Adidas drop!","Hurry, or you'll miss out!"
Adidas Sneakers,Fear,You miss 100% of the kicks you don’t lace up.,You miss 100% of the shots you don’t take.
Adidas Sneakers,Fear,You miss 100% of the steps you don't take with Adidas.,You miss 100% of the shots you don't take.
Adidas Sneakers,Fear,Hurry up before they’re gone!,
Adidas Sneakers,Fear,You miss 100% of the kicks you don’t lace. Adidas.,You miss 100% of the shots you don’t take.
Adidas Sneakers,Fear,The early runner catches the kicks – Adidas.,The early bird catches the worm.
Adidas Sneakers,Fear,The early bird gets the Adidas drops.,The early bird gets the worm.
Peloton Bike,Pride,I am the rider of my Peloton achievement.,I am the master of my fate.
Peloton Bike,Pride,Peloton: the champion of the ride!,I’m the king of the world!
Peloton Bike,Pride,I am the Peloton champion of the grind!,I am the king of the world!
Peloton Bike,Pride,I am the king of the Peloton!,I am the king of the world!
Peloton Bike,Pride,You did it your Peloton way.,I did it my way.
Peloton Bike,Pride,"The harder the Peloton grind, the greater the victory.","The harder the conflict, the greater the triumph."
Peloton Bike,Pride,I am the Peloton pro.,I am the greatest.
Peloton Bike,Pride,I am the Peloton cyclist of my fitness journey.,I am the master of my fate.
Lego Sets,Joy,The imagination’s the limit!,The sky’s the limit!
Lego Sets,Joy,The Lego's the limit!,The sky's the limit.
Lego Sets,Joy,Anything you can build is Lego.,Anything you can imagine is real.
Lego Sets,Joy,Lego: Everything is awesome!,Everything is awesome!
Lego Sets,Joy,Everything is Lego awesome!,Everything is awesome!
Lego Sets,Joy,Your dream’s the limit.,The sky's the limit.
Lego Sets,Joy,Lego Sets are awesome when you're part of a dream!,Everything is awesome when you're part of a team!
Lego Sets,Joy,"The sky’s the limit, so build high with Lego Sets.","The sky’s the limit, so reach high."
Lego Sets,Joy,Where imagination becomes Lego creations!,Where imagination becomes reality.
Kindle Paperwhite,Anticipation,The perfect read is yet to come with Kindle Paperwhite.,The best is yet to come
Kindle Paperwhite,Anticipation,Kindle Paperwhite awaits just beyond the next page.,Adventure awaits just beyond the next page.
Kindle Paperwhite,Anticipation,Every story is waiting here with Kindle Paperwhite!,Adventure is out there!
Kindle Paperwhite,Anticipation,What’s in store? Kindle Paperwhite unlocks it all.,
Kindle Paperwhite,Anticipation,The story is yet to unfold.,The best is yet to come.
Kindle Paperwhite,Anticipation,The wait is the Paperwhite’s best page.,The wait is the hardest part
Kindle Paperwhite,Anticipation,Stories unfold where Kindle awaits.,The best things come to those who wait.
Kindle Paperwhite,Anticipation,The next adventure is just a screen away.,The greatest adventure is just a page away.
Fitbit Tracker,Trust,Trust is the Fitbit of life.,Trust is the glue of life
Fitbit Tracker,Trust,Fitbit Tracker: Trust is the glue of your health.,Trust is the glue of life.
Fitbit Tracker,Trust,You’ve got a tracker in Fitbit.,You’ve got a friend in me
Fitbit Tracker,Trust,Trust is the partner of your health journey.,Trust is the glue of life.
Fitbit Tracker,Trust,Trust is the Fitbit Tracker of your health journey.,Trust is the glue of life.
Fitbit Tracker,Trust,A reliable Fitbit Tracker is a strong defense.,A reliable friend is a strong defense.
