brand,persona,headline,quote
Photoshop,Fear,The only thing to fear is not using Photoshop.,The only thing to fear is fear itself.
Photoshop,Fear,You miss 100% of the edits you don’t Photoshop.,You miss 100% of the shots you don’t take.
Photoshop,Fear,Photoshop is the worry-crusher.,Fear is the mind-killer.
Photoshop,Fear,The Photoshop pro catches the opportunity.,The early bird catches the worm.
Photoshop,Fear,Photoshop waits for no delay.,
Photoshop,Fear,The only thing to fear is missing out on Photoshop.,The only thing we have to fear is fear itself.
Coca-Cola,Pride,"Celebrating isn’t everything, but wanting to Coca-Cola is.","Winning isn’t everything, but wanting to win is."
Coca-Cola,Pride,We are the Coca-Cola.,We are the champions
Coca-Cola,Pride,Coca-Cola is forever.,Diamonds are forever.
Coca-Cola,Pride,Coca-Cola is the best celebration.,
Coca-Cola,Pride,Coca-Cola is a celebration’s best friend.,
Coca-Cola,Pride,We are the Coca-Cola of every triumph.,
Coca-Cola,Pride,"We are the Coca-Cola champions, my friends!","We are the champions, my friends!"
Nike,Joy,Just run. Have fun. Enjoy the Nike journey.,Just play. Have fun. Enjoy the game.
Nike,Joy,Go Nike or go home!,Go big or go home.
Nike,Joy,The only finish is the one you chase.,The only limit is the one you set.
Nike,Joy,"If you can move it, Nike gets you there.","If you can dream it, you can do it."
Nike,Joy,Move with Nike if you feel like a room without a roof!,Clap along if you feel like a room without a roof!
Nike,Joy,Nike: Run like no one is watching.,Dance like no one is watching.
Nike,Joy,The sky's the limit with Nike!,The sky's the limit.
Nike,Joy,Who runs the world? Nike!,Who runs the world? Girls!
Google Cloud,Anticipation,The Google Cloud future is unwritten.,The future is unwritten.
Google Cloud,Anticipation,Google Cloud's future is already here—it's just not evenly distributed yet.,The future is already here—it's just not evenly distributed yet.
Google Cloud,Anticipation,The future is cloud-powered.,The future is unwritten.
Google Cloud,Anticipation,The cloud is limitless.,The future is unwritten.
Google Cloud,Anticipation,"The future's coming, I can feel it in the cloud.",The future is unwritten.
Google Cloud,Anticipation,The best way to build the future is with Google Cloud.,The future is created by what you do today.
Google Cloud,Anticipation,The future is cloud-unlocked.,The future is unwritten.
Starbucks Coffee,Trust,There’s no coffee like Starbucks.,third place
Starbucks Coffee,Trust,Starbucks Coffee is the glue of your day.,Trust is the glue of life.
Starbucks Coffee,Trust,There's no place like Starbucks.,
Starbucks Coffee,Trust,There's no place like Starbucks.,There's no place like home.
Starbucks Coffee,Trust,There's no place like Starbucks.,There's no place like home.
Starbucks Coffee,Trust,There’s no coffee like home.,There’s no place like home.
Starbucks Coffee,Trust,You’ve got a brew in Starbucks.,You've got a friend in me
Starbucks Coffee,Trust,Starbucks is here for you.,I’ll be there for you.
Starbucks Coffee,Trust,There’s no place like Starbucks.,There's no place like home
Dyson Vacuum,Fear,"Miss Dyson, you lose.","You snooze, you lose."
Dyson Vacuum,Fear,You miss 100% of the spots you don’t clean with Dyson.,You miss 100% of the shots you don’t take
Dyson Vacuum,Fear,The only thing you have to fear is dirt itself. — Dyson.,The only thing we have to fear is fear itself.
Dyson Vacuum,Fear,Dust never waits — get Dyson.,Time waits for no one.
Dyson Vacuum,Fear,"Time waits for no mess, thanks to Dyson.",Time waits for no one.
Dyson Vacuum,Fear,The early bird gets the Dyson.,Seize the day.
Lego Sets,Pride,LEGO: The sky's the limit.,The sky's the limit
Lego Sets,Pride,Build your masterpiece and they will come.,
Lego Sets,Pride,Build a better Lego set and the world will come.,Build a better mousetrap and the world will come.
Lego Sets,Pride,Build your masterpiece.,Build the legend.
Lego Sets,Pride,Go Lego or go home!,Go big or go home.
Lego Sets,Pride,The Lego Universe is your oyster!,The world is your oyster.
Lego Sets,Pride,"You build a city, Lego builds a masterpiece.","You build a city, I build a skyscraper."
Nintendo Switch,Joy,To Nintendo Switch and beyond!,To infinity and beyond!
Nintendo Switch,Joy,The Nintendo Switch awaits!,The adventure awaits! ★
Nintendo Switch,Joy,"Joy switches, answer it!","Adventure calls, answer it!"
