brand,persona,headline,quote
Photoshop,Joy,The canvas’s the Photoshop’s limit!,The sky’s the limit!
Photoshop,Joy,The greatest magic of a photo is not in how it’s Photoshopped but in how it makes us feel!,The greatest magic of an image is not in how it was made but in how it makes us feel.
Photoshop,Joy,The canvas has no end!,The sky's the limit!
Photoshop,Joy,Let it go and let your Photoshop creations shine!,
Photoshop,Joy,"Photoshop’s so bright, I gotta wear shades!","The future’s so bright, I gotta wear shades."
Photoshop,Joy,Let your creativity run wild with Photoshop!,Let your imagination run wild.
Photoshop,Joy,The design’s the limit!,The sky's the limit!
Coca-Cola,Anticipation,"Coca-Cola’s coming, and it’s gonna be refreshing!","Something’s coming, and it’s gonna be enormous."
Coca-Cola,Anticipation,"Coke's coming, feel it in every sip.","Something's coming, I can feel it in the air."
Coca-Cola,Anticipation,"Coca-Cola’s coming, I can feel it everywhere.","Something's coming, I can feel it in the air."
Coca-Cola,Anticipation,"The fizz is coming, you can taste it in the air.",
Coca-Cola,Anticipation,The Coca-Cola moment is yet to come.,The best is yet to come
Coca-Cola,Anticipation,A Coca-Cola moment is right around the corner.,The best is yet to come.
Coca-Cola,Anticipation,"Coca-Cola's here, you can taste it in every sip.","Something's coming, you can feel it in the air"
Coca-Cola,Anticipation,"Coca-Cola’s coming, and I don’t know what it is.",
Coca-Cola,Anticipation,The Coca-Cola is yet to come.,The best is yet to come.
Nike,Trust,Nike will always stand by you.,I will always stand by you
Nike,Trust,Nike is the foundation of every step.,Trust is the glue of life.
Nike,Trust,Nike engineers to build | and never let you fail.,Trust takes time to build and moments to break.
Nike,Trust,Safety is the foundation of every victory.,Trust is the foundation of all relationships
Nike,Trust,Nike: Safe and steady wins the race.,Slow and steady wins the race.
Nike,Trust,Trust is the glue of every Nike stride.,Trust is the glue of life.
Nike,Trust,Nike’s safety first.,Safety first.
Nike,Trust,Nike is the foundation that holds every step together.,Trust is the glue that holds everything together
Nike,Trust,Trust is the sole of every step.,Trust is the foundation of everything.
Nike,Trust,"Trust the Nike process, the results will follow.","Trust the process, the rest will follow."
Google Cloud,Fear,The Google Cloud user catches the lead.,The early bird catches the worm.
Google Cloud,Fear,The only thing you have to fear is missing Google Cloud.,The only thing we have to fear is fear itself.
Google Cloud,Fear,The only thing we have to fear is not choosing Google Cloud.,The only thing we have to fear is fear itself.
Google Cloud,Fear,"You snooze, you miss Google Cloud.","You snooze, you lose"
Google Cloud,Fear,The early adopter catches Google Cloud.,The early bird catches the worm.
Google Cloud,Fear,The only thing to fear is not using Google Cloud.,The only thing we have to fear is fear itself.
Google Cloud,Fear,"You snooze, you miss Google Cloud.","You snooze, you lose."
Google Cloud,Fear,The only thing to fear is not choosing Google Cloud.,The only thing to fear is fear itself.
Adidas Sneakers,Pride,The street is your ground.,The world is yours.
Adidas Sneakers,Pride,"The steeper the climb, the prouder the stride. Adidas Sneakers.","The harder the conflict, the more glorious the triumph."
Adidas Sneakers,Pride,"Sneakers aren’t everything, | but running to win is.","Winning isn’t everything, but wanting to win is."
Adidas Sneakers,Pride,The sky's the limit with Adidas.,The sky's the limit.
Adidas Sneakers,Pride,"Adidas wearers never quit, and non-wearers never win.",
Adidas Sneakers,Pride,"We are the kings, my adidas.","We are the champions, my friends"
Adidas Sneakers,Pride,"Achievement isn’t everything, but the desire to Adidas is everything.","Winning isn’t everything, but the desire to win is everything."
Dyson Vacuum,Joy,Happy like a kid in Dyson's Cyclone!,Happy like a kid in a candy store
Dyson Vacuum,Joy,"The Dyson is so powerful, I gotta wear shades!","The future is so bright, I gotta wear shades!"
Dyson Vacuum,Joy,Let’s get ready to Dyson!,The future’s so bright I’ve got to wear shades
Dyson Vacuum,Joy,The greatest Dyson Vacuum since sliced bread!,
Dyson Vacuum,Joy,Let’s go vroom!,Let’s go crazy!
Dyson Vacuum,Joy,A spoonful of Dyson helps the mess go down.,A spoonful of sugar helps the medicine go down
Dyson Vacuum,Joy,The Dyson's the limit!,The sky's the limit!
Dyson Vacuum,Joy,The best things in life are Dyson.,The best things in life are clean.
Lego Sets,Anticipation,Lego is your next adventure!,Adventure is out there!
Lego Sets,Anticipation,"Lego's coming, and it's better than we know.","Something's coming, and it's better than we know."
Lego Sets,Anticipation,The sets are yet to build.,The best is yet to come.
Lego Sets,Anticipation,"The world's so bright, I gotta wear bricks.","The future's so bright, I gotta wear shades."
Lego Sets,Anticipation,The Lego journey is just beginning.,The adventure is just beginning.
Lego Sets,Anticipation,The adventure of every Lego set.,The adventure of a lifetime.
Nintendo Switch,Trust,Nintendo Switch is the glue of play.,
Nintendo Switch,Trust,Safety in Nintendo Switch ensures gaming experiences.,Safety in numbers ensures a secure future.
Nintendo Switch,Trust,Nintendo Switch is the foundation of every reliable game.,Trust is the foundation of every successful relationship.
Nintendo Switch,Trust,You can always count on Nintendo Switch.,You can always count on me
Nintendo Switch,Trust,Better Switch than sorry.,Better safe than sorry.
Nintendo Switch,Trust,You’ve got a reliable companion in the Nintendo Switch.,You’ve got a friend in me
Nintendo Switch,Trust,There's no place like a Switch.,There's no place like home.
Nintendo Switch,Trust,Reliability is the gamer’s responsibility.,Safety is everyone’s responsibility.
Nintendo Switch,Trust,Trust in the Switch.,
Nintendo Switch,Trust,Trust the Switch.,Trust the process.
Fitbit Tracker,Fear,Fitness waits for no one—Track it with Fitbit.,Time waits for no one.
Fitbit Tracker,Fear,"You snooze, you miss. Track with Fitbit.","You snooze, you lose."
Fitbit Tracker,Fear,The only thing to fear is missing steps. — Fitbit.,The only thing we have to fear is fear itself.
Fitbit Tracker,Fear,"You snooze, you gain—track smarter with Fitbit.",
Fitbit Tracker,Fear,What if there’s a healthier you? Track it with Fitbit.,
Fitbit Tracker,Fear,Steps wait for no one. — Fitbit,Time waits for no one.
KitchenAid Mixer,Pride,KitchenAid Masterpieces are forever.,Diamonds are forever.
KitchenAid Mixer,Pride,Nothing worth having comes without KitchenAid.,Nothing worth having comes easily.
KitchenAid Mixer,Pride,KitchenAid lasts forever.,Diamonds are forever.
KitchenAid Mixer,Pride,KitchenAid quality is never an accident.,
KitchenAid Mixer,Pride,KitchenAid Mixers are a chef's best friend.,Diamonds are a girl's best friend
KitchenAid Mixer,Pride,KitchenAid quality is never an accident.,Quality is never an accident.
KitchenAid Mixer,Pride,The mix is in the masterpiece.,The proof is in the pudding.
KitchenAid Mixer,Pride,The KitchenAid isn’t a compromise.,The quality is never an accident.
Ray-Ban Sunglasses,Joy,"The future's so bright, you gotta wear Ray-Bans!","The future's so bright, I gotta wear shades."
Ray-Ban Sunglasses,Joy,The Ray-Ban view is yet to shine!,The best is yet to come.
Ray-Ban Sunglasses,Joy,It’s always sunny in Ray-Ban vision.,It’s always sunny in Philadelphia
Ray-Ban Sunglasses,Joy,Shine bright with Ray-Ban.,Shine bright like a diamond.
Timberland Boots,Anticipation,The Timberland journey is yet to come.,The best is yet to come
Timberland Boots,Anticipation,Timberland Boots are ready to walk!,Adventure is out there!
Timberland Boots,Anticipation,Adventure is ready.,Adventure is out there.
Timberland Boots,Anticipation,The journey is your adventure with Timberland Boots.,The journey is the reward.
Timberland Boots,Anticipation,"Adventure’s coming, I can feel it on the trail.","Something's coming, I can feel it in the air."
