brand,persona,headline,quote
Creative Cloud,Fear,The creative gets the Creative Cloud.,The early bird gets the worm.
Creative Cloud,Fear,He who hesitates is missing out on Creative Cloud.,He who hesitates is lost.
Creative Cloud,Fear,The only thing you have to fear is missing out on Creative Cloud.,
Creative Cloud,Fear,"You snooze, you lose creativity—Creative Cloud.","You snooze, you lose."
Creative Cloud,Fear,What's the worst that could wait? Creative Cloud never does.,
Creative Cloud,Fear,He who hesitates is behind—Creative Cloud ensures you lead.,He who hesitates is lost.
Creative Cloud,Fear,Collaborate and create wait for no man.,Time and tide wait for no man.
Nike,Pride,"The harder the grind, the more glorious Nike's triumph.","The harder the conflict, the more glorious the triumph."
Nike,Pride,Champions aren’t made in gyms—they're made with Nike.,Champions aren’t made in gyms—they’re made within.
Nike,Pride,Nike is the master of your potential.,
Nike,Pride,Go Nike or go home.,Go big or go home.
Nike,Pride,"Running isn’t everything, it’s the only thing. — Nike","Winning isn’t everything, it’s the only thing."
Nike,Pride,You miss 100% of goals you don’t make. Nike.,just do it
Nike,Pride,Nike: Achieve All You Can Be.,Be All You Can Be.
Nike,Pride,"The Nike spirit is not in never falling, but in rising each time you fall.","The glory is not in never falling, but in rising each time you fall."
Iphone,Joy,"Pure joy, just like the iPhone's sound.",
Iphone,Joy,The iPhone journey is just beginning.,The greatest adventure is just beginning
Iphone,Joy,Come with me and you'll be in a world of iPhone's joy.,Come with me and you'll be in a world of pure imagination.
Iphone,Joy,"Seize the moment, for that's the stuff iPhone is made of.","Seize the day, for that's the stuff life is made of."
Iphone,Joy,iPhoneing My Brightest Life!,Living my best life.
Starbucks Coffee,Anticipation,"Something’s brewing, I can feel it in the air at Starbucks.",The wait is almost over.
Starbucks Coffee,Anticipation,The wait is the Starbucks moment.,The wait is the hardest part.
Starbucks Coffee,Anticipation,The Starbucks brew is yet to come.,The best is yet to come.
Starbucks Coffee,Anticipation,Starbucks: The wait is worth the brew.,The wait is the hardest part.
Starbucks Coffee,Anticipation,The Starbucks brew is the perfect sip.,The wait is the hardest part
Starbucks Coffee,Anticipation,"Starbucks' brew is coming, and it's coming soon!","Something's coming, and it's coming soon."
Starbucks Coffee,Anticipation,"Something’s brewing, you can feel it in every sip.","Something's coming, you can feel it in the air."
Starbucks Coffee,Anticipation,The best is brewing to steep.,
Starbucks Coffee,Anticipation,"Starbucks is coming, and it’s coming soon!","Something’s coming, and it’s coming soon."
Adidas Sneakers,Trust,Adidas Sneakers is the foundation of trust.,
Adidas Sneakers,Trust,"Stand by me, Adidas.",Stand by me
Adidas Sneakers,Trust,The journey of a thousand miles begins with an Adidas step.,The journey of a thousand miles begins with one step.
Adidas Sneakers,Trust,"Trust the step, Adidas.",Trust the process.
Adidas Sneakers,Trust,Trust is the sole of support.,Trust is the glue of life.
Adidas Sneakers,Trust,All you need is a trusted Adidas shoe.,All you need is a good shoe.
Adidas Sneakers,Trust,The proof of the shoe is in the stepping.,The proof of the pudding is in the eating.
Peloton Bike,Fear,The only thing you have to fear is missing your Peloton ride.,The only thing we have to fear is fear itself.
Peloton Bike,Fear,The only thing we have to fear is missing out on the Peloton Bike.,The only thing we have to fear is fear itself.
Peloton Bike,Fear,He who hesitates is missing your Peloton ride.,The only thing we have to fear is fear itself.
Peloton Bike,Fear,The only thing we have to fear is missing out on the Peloton.,The only thing we have to fear is fear itself.
Peloton Bike,Fear,You miss 100% of the Peloton rides you don’t take.,You miss 100% of the shots you don’t take.
Peloton Bike,Fear,"You rest, you miss.",
Peloton Bike,Fear,"You snooze, you miss Peloton.","You snooze, you lose."
Peloton Bike,Fear,There's no time like the Peloton ride.,There's no time like the present.
Peloton Bike,Fear,You miss 100% of the Peloton rides you don’t take.,
Nintendo Switch,Pride,You are the champion of the Nintendo Switch!,I am the king of the world!
Nintendo Switch,Pride,The only way to get exclusivity is to go with the Switch.,The only way to get the gold is to go all the way.
Nintendo Switch,Pride,The Nintendo Switch is yours.,The world is yours.
Nintendo Switch,Pride,"We are the Switch owners, live the dream.","We are the champions, my friend."
