brand,persona,headline,quote
Photoshop,Pride,Your vision is Photoshop’s to craft.,The world is yours.
Photoshop,Pride,Only the brave dare to Photoshop differently.,Only the brave dare to be different.
Photoshop,Pride,The only way to create great work is to master Photoshop.,Excellence is not a skill; it's an attitude.
Photoshop,Pride,To Photoshop and beyond!,
Photoshop,Pride,You’re the Photoshop master of the design world!,The future belongs to the bold.
Photoshop,Pride,Photoshop is holding your head up when everyone else has theirs unedited.,Pride is holding your head up when everyone else has theirs down.
Photoshop,Pride,I am the master of the canvas.,I am the king of the world
Photoshop,Pride,The only Photoshop limit is your imagination.,The only limit is your imagination.
Photoshop,Pride,I am the master of Photoshop’s artistry.,I am the master of my fate.
Creative Cloud,Joy,Jump for Creative Cloud!,Jump for joy
Creative Cloud,Joy,"Design without limits, Creative Cloud.",Dance like nobody's watching.
Creative Cloud,Joy,The Creative Cloud’s the playground!,The sky’s the limit!
Creative Cloud,Joy,Let’s paint the Creative Cloud red!,Let’s paint the town red!
Creative Cloud,Joy,Let's get this Creative Cloud started!,Let's get this party started!
Creative Cloud,Joy,"Creative Cloud, what a joyful tool!","Hakuna Matata, what a wonderful phrase!"
Creative Cloud,Joy,Creative Cloud: The sky's the limit.,The sky's the limit.
Creative Cloud,Joy,Let’s create ready to shine!,Let’s get ready to rumble!
Creative Cloud,Joy,The sky's your Creative Cloud.,The sky's the limit
Creative Cloud,Joy,Let’s go create with Creative Cloud!,Let’s go fly a kite!
Nike,Anticipation,Nike: The future is unwritten.,The future is unwritten
Nike,Anticipation,The run is yet to begin.,The best is yet to come
Nike,Anticipation,Nike is coming. Can you feel it?,The future is coming. Can you feel it?
Nike,Anticipation,The race of a lifetime begins with one step.,The journey of a thousand miles begins with one step.
Nike,Anticipation,The future is Nike-designed.,The future is unwritten.
Nike,Anticipation,Nike’s best is yet to come.,The best is yet to come.
Nike,Anticipation,Nike's bold this way comes.,Something wicked this way comes.
Nike,Anticipation,Nike's Next Move is coming. You can feel it in your soles.,Something is coming. You can feel it in your bones.
Nike,Anticipation,"Stay hungry, stay Nike.","Stay hungry, stay foolish."
Iphone,Trust,Security is the first pillar of trust.,Safety is the first requisite of happiness.
Iphone,Trust,In iPhone we trust; all others bring data.,In God we trust; all others bring data.
Iphone,Trust,Better secure than without iPhone.,Better safe than sorry.
Iphone,Trust,Secure as iPhone’s shield.,Solid as a rock.
Iphone,Trust,iPhones are unbreakable.,Diamonds are forever.
Iphone,Trust,"In iPhone we trust, all others bring encryption.","In God we trust, all others bring data."
Iphone,Trust,iPhone is forever secure.,Diamonds are forever
Iphone,Trust,A trusted iPhone in chaos.,A reliable anchor in chaos.
Iphone,Trust,iPhone security comes first.,Safety comes first.
Iphone,Trust,iPhone is the foundation of your security.,Trust is the foundation of everything.
Starbucks Coffee,Fear,"If you snooze, you lose your brew.","If you snooze, you lose"
Starbucks Coffee,Fear,The brew is always creamier on the Starbucks side.,The grass is always greener on the other side.
Starbucks Coffee,Fear,The early sip gets the Starbucks brew.,The early bird gets the worm.
Starbucks Coffee,Fear,"Starbucks closes, you wait.",
Starbucks Coffee,Fear,"Starbucks Coffee steams, but once.",Opportunity knocks but once
Starbucks Coffee,Fear,"You wait, you miss out. Starbucks Coffee.","You snooze, you lose."
Starbucks Coffee,Fear,Sip while the coffee is hot.,Strike while the iron is hot.
Dyson Vacuum,Pride,The Dyson rises to the clean.,
Dyson Vacuum,Pride,The greatest precision in home is to always be cleaning.,Glory
Dyson Vacuum,Pride,"I am the Dyson champion, my friend.","I am the champion, my friend."
Dyson Vacuum,Pride,"The harder the dust, the more exquisite the clean.","The harder the conflict, the more glorious the triumph."
Dyson Vacuum,Pride,The Dyson is in the engineered precision.,The devil is in the details
Dyson Vacuum,Pride,The rest is just dust. — Dyson,The rest is silence.
Dyson Vacuum,Pride,I’m the Dyson of the cleaning!,
Dyson Vacuum,Pride,To clean and beyond with Dyson!,
Peloton Bike,Joy,There’s no place like the Peloton.,There’s no place like the bike.
Peloton Bike,Joy,Life is a Peloton ride and I'll live it as a Peloton ride.,Life is a party and I'll live it as a party
Peloton Bike,Joy,Peloton along if you feel like a ride without a limit.,Clap along if you feel like a room without a roof
Peloton Bike,Joy,"**Just ride Peloton, let the music play.**",
Peloton Bike,Joy,Jump on Peloton!,Jump around!
Peloton Bike,Joy,"Let’s get Peloton, Peloton!",
Peloton Bike,Joy,Ride along if you feel like a room without a roof—Peloton Bike!,Clap along if you feel like a room without a roof
Peloton Bike,Joy,"Keep on cycling, never stop your Peloton.","Keep on truckin’, never stop."
Nintendo Switch,Anticipation,The Nintendo Switch adventure is the one that awaits.,The greatest adventure is the one that awaits.
Nintendo Switch,Anticipation,The game of a lifetime awaits.,The adventure of a lifetime awaits.
Nintendo Switch,Anticipation,Something legendary this way comes.,Something wicked this way comes.
Kindle Paperwhite,Trust,Kindle Paperwhite is the reliable foundation of your reading life.,Trust is the glue of life.
Kindle Paperwhite,Trust,Trust the Kindle’s light.,Trust the process.
Kindle Paperwhite,Trust,Light the night with every read.,Light the darkness with every step.
Kindle Paperwhite,Trust,Trust is the paperwhite’s promise.,Trust is the glue of life.
Kindle Paperwhite,Trust,Trust in Kindle Paperwhite with every page.,
Kindle Paperwhite,Trust,Build your library upon this Kindle.,Build your house upon this rock.
Kindle Paperwhite,Trust,Trust is the shield of knowledge.,Trust is the glue of life.
Nespresso Machine,Fear,"You snooze, you miss Nespresso!","You snooze, you lose."
Nespresso Machine,Fear,Nespresso: Brew while the coffee is hot.,Strike while the iron is hot.
Nespresso Machine,Fear,Brew before the perfect cup escapes—Nespresso.,Hurry before it’s too late.
Nespresso Machine,Fear,Life's too short for missing your espresso.,
Nespresso Machine,Fear,"You snooze, you miss Nespresso.","You snooze, you lose."
Nespresso Machine,Fear,"You wait, you miss—Nespresso delivers.","You snooze, you lose."
Nespresso Machine,Fear,Perfection only knocks once – Nespresso.,Time waits for no one.
Ray-Ban Sunglasses,Pride,Ray-Ban are the king of the world.,I am the king of the world
Ray-Ban Sunglasses,Pride,The world is yours through Ray-Ban.,The world is yours for the taking.
Ray-Ban Sunglasses,Pride,Ray-Ban Sunglasses are the rebel’s ultimate accessory.,Diamonds are a girl's best friend.
Ray-Ban Sunglasses,Pride,The Ray-Ban is yours.,The crown is mine.
Ray-Ban Sunglasses,Pride,The Ray-Ban world is yours.,The world is yours.
Ray-Ban Sunglasses,Pride,The world is your Ray-Ban.,The world is your oyster.
Ray-Ban Sunglasses,Pride,Ray-Ban sunglasses are forever.,Diamonds are forever.
Ray-Ban Sunglasses,Pride,The vision is yours with Ray-Ban.,The world is yours to conquer.
Ray-Ban Sunglasses,Pride,Ray-Ban sunglasses are timeless.,
Patagonia Jackets,Joy,The best things in life are worth weathering the storm with Patagonia.,The best things in life are worth braving the storm.
Patagonia Jackets,Joy,"Patagonia calls, and you must go!","Adventure calls, and I must go!"
Patagonia Jackets,Joy,Go jacketed or go home!,Go big or go home.
Patagonia Jackets,Joy,The mountains are calling and Patagonia is ready.,The mountains are calling and I must go.
Patagonia Jackets,Joy,Patagonia’s jackets are in the wild!,Adventure is out there!
Patagonia Jackets,Joy,"The Patagonia Jackets are calling, and you must go!","The mountains are calling, and I must go."
JBL Speakers,Anticipation,JBL: You're gonna be surround—wait for it—sound!,You're gonna be legen—wait for it—dary!
JBL Speakers,Anticipation,"JBL's coming, I can feel it in the air.","Something's coming, I can feel it in the air."
JBL Speakers,Anticipation,The sound is an unknown frontier.,
JBL Speakers,Anticipation,"Something's coming, I can feel it in the JBL sound tonight.","Something's coming, I can feel it in the air tonight"
JBL Speakers,Anticipation,"Something’s coming, you can feel it in the bassline.","Something's coming, you can feel it in the air."
JBL Speakers,Anticipation,The wait is the hardest sound—JBL delivers.,The wait is the hardest part.
JBL Speakers,Anticipation,The JBL Sound is coming. Can you feel the bass?,The future is coming. Can you hear it?
GoPro Camera,Trust,Safety is the glue of every adventure — GoPro.,Trust is the glue of life.
GoPro Camera,Trust,Trust your GoPro Camera.,Trust the process.
GoPro Camera,Trust,Trust is the foundation of every GoPro adventure.,Trust is the foundation of everything we do
GoPro Camera,Trust,You can trust GoPro with every adventure.,You can trust me with your life
GoPro Camera,Trust,You can trust GoPro if you fall.,You can trust me if you fall.
GoPro Camera,Trust,Better trusted than falter.,Better safe than sorry.
GoPro Camera,Trust,Reliable but deliver.,Trust but verify.
GoPro Camera,Trust,The GoPro never lies.,The camera never lies.
OXO Kitchen Tools,Fear,The early chef gets the OXO touch.,The early bird gets the worm.
OXO Kitchen Tools,Fear,Better OXO than overcooked.,Better safe than sorry
OXO Kitchen Tools,Fear,The only thing you have to fear is missing OXO.,
OXO Kitchen Tools,Fear,OXO tools are here—but once.,Opportunity knocks but once.
OXO Kitchen Tools,Fear,"You hesitate, you regret. Choose OXO Kitchen Tools.","You snooze, you lose."
OXO Kitchen Tools,Fear,**Fear is the meal-killer—OXO stops it!**,Fear is the mind-killer.
OXO Kitchen Tools,Fear,The only thing you need to fear is OXO-free cooking.,The only thing we have to fear is fear itself.
Samsonite Luggage,Pride,"The harder the luggage, the more glorious the arrival.",
Samsonite Luggage,Pride,Your journey is Samsonite’s.,The world is yours.
Samsonite Luggage,Pride,The Samsonite is your treasure.,Diamonds are a girl’s best friend.
Samsonite Luggage,Pride,Pride is standing tall with Samsonite when others bow.,Pride is holding your head up when others bow.
Samsonite Luggage,Pride,Pack boldly in the direction of your adventure.,Go confidently in the direction of your dreams
Samsonite Luggage,Pride,The journey is your Samsonite.,The world is your oyster.
Samsonite Luggage,Pride,The world is your Samsonite horizon.,The world is your oyster.
Samsonite Luggage,Pride,"In order to be irreplaceable, your luggage must always be Samsonite.","In order to be irreplaceable, one must always be different."
Amazon Prime,Joy,The Prime's the thrill!,The sky's the limit!
Amazon Prime,Joy,A whole new Prime world awaits you!,A whole new world awaits you
Amazon Prime,Joy,Prime is the best everything.,Happiness is the best makeup.
Amazon Prime,Joy,The best things in life are Prime.,The best things in life are free.
Amazon Prime,Joy,Prime's the limit!,The sky's the limit.
Amazon Prime,Joy,The Amazon Prime of a lifetime!,The adventure of a lifetime
Disney+,Anticipation,There’s a whole new world on Disney+.,There’s a whole new world out there.
Disney+,Anticipation,Disney+'s magic is out there!,
Disney+,Anticipation,Stories are waiting!,
Disney+,Anticipation,The Disney+ adventure is just beginning.,The adventure is just beginning.
Disney+,Anticipation,To Disney+'s wonder and beyond!,To infinity and beyond!
Disney+,Anticipation,Magic is here on Disney+.,Adventure is out there.
Disney+,Anticipation,A whole new show awaits on Disney+.,new world
Disney+,Anticipation,Disney+'s magic is yet to stream.,The best is yet to come.
Disney+,Anticipation,The next Disney+ adventure is the one you're about to begin.,The greatest adventure is the one you're about to begin
Disney+,Anticipation,The wait is Disney+'s magic.,The wait is the hardest part
Apple Music,Trust,Trust is the foundation of Apple Music.,Trust is the glue of life.
Apple Music,Trust,Trust is the rhythm of Apple Music.,Trust is the glue of life.
Apple Music,Trust,Trust is the glue of Apple Music.,Trust is the glue of life.
Apple Music,Trust,Trust is the glue of Apple Music.,Trust is the glue of life.
Apple Music,Trust,Trust is the hub of endless streams.,Trust is the foundation of a lasting relationship.
Apple Music,Trust,Apple Music is the backbone of your safety.,Trust is the glue of life
Apple Music,Trust,You can’t go wrong with Apple Music.,Diamonds are forever.
Apple Music,Trust,Apple Music is trusted forever.,Diamonds are forever.
Apple Music,Trust,In Apple Music we trust.,Trust is the foundation of everything.
Apple Music,Trust,Apple Music is the one who knows the song in your heart and plays it back when it’s safely stored.,A friend is someone who knows the song in your heart…
YouTube Premium,Fear,The fear of missing out is over with YouTube Premium.,The fear of missing out is real.
YouTube Premium,Fear,The only thing to fear is missing out – YouTube Premium stops it.,The only thing we have to fear is fear itself.
YouTube Premium,Fear,"YouTube Premium: You wait, you lose.","You snooze, you lose."
YouTube Premium,Fear,You can’t unwatch what you’ve watched—but YouTube Premium keeps you ahead of the game.,You can’t unsee what you’ve seen.
YouTube Premium,Fear,You can’t miss a beat on YouTube Premium.,
YouTube Premium,Fear,The only thing we have to fear is missing out—YouTube Premium.,Fear itself is the monster.
YouTube Premium,Fear,Missing out is a costly game without YouTube Premium.,FOMO is a dangerous game.
YouTube Premium,Fear,YouTube Premium stops the clock.,Time waits for no one
HBO Max,Pride,HBO Max is the streamer of the world!,
HBO Max,Pride,Epics are forever.,Diamonds are forever.
HBO Max,Pride,The greatest show on HBO Max.,The greatest show on earth
HBO Max,Pride,HBO Max is your oyster.,The world is your oyster
DoorDash DashPass,Joy,"Life is short, grab DashPass first!","Life is short, eat dessert first."
DoorDash DashPass,Joy,Pure joy is worth the Dash.,Pure joy is worth the fight
DoorDash DashPass,Joy,Treat yourself with DashPass!,Treat yo'self.
