brand,persona,headline,quote
Creative Cloud,Anticipation,The creativity is coming and it’s here!,The future is coming and it’s wild!
Creative Cloud,Anticipation,"Wait for it, create it, Creative Cloud will.","Wait for it, wait for it, you will."
Creative Cloud,Anticipation,The best is yet to come with Creative Cloud.,The best is yet to come.
Creative Cloud,Anticipation,Creative Cloud: Something’s coming in the cloud tonight!,The future is unwritten.
Creative Cloud,Anticipation,"The future is unwritten, but you can design it with Creative Cloud.","The future is unwritten, but you can shape it."
Creative Cloud,Anticipation,Beware the Future of Creative Cloud.,Beware the Ides of March.
Creative Cloud,Anticipation,"Creative Cloud sees it all, but you don’t.",
Coca-Cola,Trust,Coca-Cola: Trust is the glue of life.,Trust is the glue of life.
Coca-Cola,Trust,…,
Coca-Cola,Trust,Coca-Cola is forever.,
Coca-Cola,Trust,Coca-Cola is where the heart is.,Home is where the heart is.
Coca-Cola,Trust,Coca-Cola is the foundation of moments.,Trust is the glue of life
Coca-Cola,Trust,You've got a partner in Coca-Cola.,Safety in numbers is the best protection.
Coca-Cola,Trust,Coca-Cola is the glue of life.,Trust is the glue of life.
Coca-Cola,Trust,Better Coca-Cola than sorry.,Better safe than sorry
Coca-Cola,Trust,Coca-Cola: Trust in numbers.,The only thing we have to fear is fear itself.
Iphone,Fear,"You snooze, you iPhone-less.","You snooze, you lose."
Iphone,Fear,"You snooze, you miss moments.","You snooze, you lose."
Iphone,Fear,The only thing to fear is not having iPhone.,The only thing we have to fear is fear itself
Iphone,Fear,"You wait, you lose the iPhone.","You snooze, you lose."
Iphone,Fear,The only thing you have to miss | is time itself.,The only thing we have to fear is fear itself.
Iphone,Fear,iPhone waits for no one.,Time waits for no one
Starbucks Coffee,Pride,The third place is yours.,
Starbucks Coffee,Pride,Starbucks is a coffee lover's perfect brew.,Diamonds are a girl's best friend.
Starbucks Coffee,Pride,The best moments in life are worth savoring at Starbucks.,The best things in life are worth waiting for.
Starbucks Coffee,Pride,Starbucks: The premium is enough.,The glory is enough.
Starbucks Coffee,Pride,We are the brewers of Starbucks.,We are the champions
Starbucks Coffee,Pride,The Starbucks is never an accident.,The quality is never an accident.
Starbucks Coffee,Pride,The Starbucks Coffee stands above the crowd.,The crème de la crème stands above the rest.
Starbucks Coffee,Pride,The ultimate brew is tasting the rarest beans.,
Starbucks Coffee,Pride,You're invited to the Starbucks regulars’ barista counter.,You're invited to the cool kids' table.
Adidas Sneakers,Joy,Keep on striding.,Keep on moving
Adidas Sneakers,Joy,Jump for Adidas kicks!,Jump for joy
Adidas Sneakers,Joy,Shake it like Adidas kicks!,The sky’s the limit.
Adidas Sneakers,Joy,"Just run, let the sneaker move your feet.","Just dance, let the rhythm move your feet."
Adidas Sneakers,Joy,"Jump for joy, the world is your Adidas playground!","Jump for joy, the world is your playground."
Peloton Bike,Anticipation,"Workout’s coming, you’ll feel it in your veins.",The best is yet to come.
Peloton Bike,Anticipation,The Peloton journey is yet to come.,The best is yet to come
Peloton Bike,Anticipation,The ride is the brightest part.,The waiting is the hardest part.
Peloton Bike,Anticipation,The Peloton ride is yet to come.,The best is yet to come.
Peloton Bike,Anticipation,"The ride’s coming, you can feel it in the Peloton.","Something’s coming, you can feel it in the air."
Peloton Bike,Anticipation,The ride is yet to begin.,The best is yet to come.
Peloton Bike,Anticipation,The Peloton ride is yet to come.,The best is yet to come.
Peloton Bike,Anticipation,The Peloton journey of a thousand miles begins with one spin.,The journey of a thousand miles begins with one step.
Lego Sets,Trust,Lego Bricks last forever.,Diamonds are forever.
Lego Sets,Trust,Every Lego brick laid is a promise for the future.,Every brick laid is a promise for the future.
Lego Sets,Trust,"Build on Lego bricks, storms won’t break them.","Build on a rock, storms won’t shake it."
Lego Sets,Trust,Strong Lego Sets make strong creations.,Strong foundations make strong structures.
Lego Sets,Trust,Every Lego brick matters in a trusted creation.,Every brick matters in a lasting creation.
Lego Sets,Trust,A house built with Lego can stand.,A house divided against itself cannot stand.
