brand,persona,headline,quote
Photoshop,Trust,The proof of Photoshop is in the edit.,The proof of the pudding is in the eating.
Photoshop,Trust,Photoshop is the glue of design.,Trust is the glue of life.
Photoshop,Trust,Trust is the precision of design. — Photoshop,Trust is the glue of life.
Photoshop,Trust,"Photoshop safeguards, but verify.",
Photoshop,Trust,You're in safe hands with Photoshop.,You're in good hands.
Photoshop,Trust,"In case of mistake, break the Photoshop.","In case of emergency, break the glass."
Photoshop,Trust,…,You've got a friend in me.
Photoshop,Trust,You're safe with Photoshop.,You're safe with me.
Photoshop,Trust,You've got a trusted tool in Photoshop.,You've got a friend in me.
Photoshop,Trust,Better with Photoshop than sorry.,You can't go wrong with basics
Coca-Cola,Fear,"Seize the Coke, for tomorrow comes never.","Seize the day, for tomorrow comes never."
Coca-Cola,Fear,You can always get what you want—Coca-Cola.,You can't always get what you want.
Coca-Cola,Fear,"Seize the Coke moment, for tomorrow never comes.",
Coca-Cola,Fear,"Coca-Cola, you only live once.","YOLO, you only live once."
Coca-Cola,Fear,Don't let a Coca-Cola moment be the one that got away.,Don't let this be the one that got away.
Coca-Cola,Fear,Coca-Cola Now or Never.,Now or never.
Coca-Cola,Fear,"Sip the Coke, for thirst may never end.",Strike while the iron is hot.
Coca-Cola,Fear,"Seize the Coca-Cola moment, for tomorrow never comes.","Seize the day, for tomorrow never comes."
Iphone,Pride,iPhone is the crown of the tech world!,I am the king of the world!
Iphone,Pride,iPhone is your ultimate companion.,Diamonds are a girl's best friend.
Iphone,Pride,The iPhone always rises to the crown.,The cream always rises to the top.
Iphone,Pride,You’re the iPhone of the world!,I'm the king of the world!
Iphone,Pride,"The iPhone is already here, it's just not for everyone.","The future is already here, it's just not evenly distributed."
Iphone,Pride,iPhone’s design is perfected when there is nothing left to replace.,Perfection is achieved when there is nothing left to take away.
Google Cloud,Joy,The Google Cloud’s the limit.,The sky’s the limit
Google Cloud,Joy,The cloud's the limit with Google Cloud!,The sky's the limit!
Google Cloud,Joy,The cloud's the limitless.,The sky's the limit
Google Cloud,Joy,The Google Cloud's the Limit!,The sky's the limit!
Google Cloud,Joy,The Google Cloud’s the limit!,The sky's the limit.
Adidas Sneakers,Anticipation,"They’re coming, you can feel it in every step — Adidas Sneakers.","Something’s coming, you can feel it in the air"
Adidas Sneakers,Anticipation,"The drop’s coming, I can feel it in the air: Adidas Sneakers.",
Adidas Sneakers,Anticipation,"Something’s dropping, and it’s going to be game-changing. Adidas Sneakers.","Something’s coming, and it’s going to be big."
Adidas Sneakers,Anticipation,The Adidas innovation is yet to come.,The best is yet to come
Adidas Sneakers,Anticipation,You're gonna need Adidas kicks!,
Adidas Sneakers,Anticipation,"The drop’s coming, I can feel it in the air.","Something’s coming, I can feel it in the air."
Adidas Sneakers,Anticipation,The Adidas are yet to drop.,The best is yet to come.
Adidas Sneakers,Anticipation,The future is unwritten with Adidas.,The future is unwritten.
Dyson Vacuum,Trust,Better reliable than risky.,Better safe than sorry
Dyson Vacuum,Trust,The proof is in the Dyson.,The proof is in the pudding.
Dyson Vacuum,Trust,The proof is in the Dyson.,
Dyson Vacuum,Trust,Dyson: Safety Assured.,Safety first.
Dyson Vacuum,Trust,"Dyson protection first, dirt second.","Safety first, speed second."
Dyson Vacuum,Trust,Dyson | is | relentless.,Diamonds are forever.
Dyson Vacuum,Trust,Dyson’s reliability is no accident.,Safety is no accident.
Dyson Vacuum,Trust,Dyson is the glue of safety.,Trust is the glue of life
